description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Magic Shield + 1 Spiked Club + 2 Skulls (Any) -> Magic Shield of Spikes	1			0					4	shld,mag	gemz,qty=2	spc					usetype,mag,suf=162	30		60																																																																																				0
4 Healing Potions (Any) + 1 Standard Ruby + 1 Magic Sword -> Sword of the Leech	1			0					6	swor,mag	gemr	hpot,qty=4					usetype,mag,suf=352	30		60																																																																																				0
1 Diamond (Any) + 1 Kris + 1 Staff + 1 Belt -> Savage Polearm	1			0					4	kri	gemd	staf	belt				pole,mag,pre=191	50		60																																																																																				0
1 Strangling Gas Potion + 1 Healing Potion (Any) -> Antidote Potion	1			0					2	gpl	hpot						yps																																																																																							0
2 Arrows -> Bolts	1			0					2	aqv,qty=2							cqv																																																																																							0
2 Bolts -> Arrows	1			0					2	cqv,qty=2							aqv																																																																																							0
3 Chipped Amethysts -> Flawed Amethyst	1			0					3	gcv,qty=3							gfv																																																																																							0
3 Flawed Amethysts -> Standard Amethyst	1			0					3	gfv,qty=3							gsv																																																																																							0
3 Standard Amethysts -> Flawless Amethyst	1			0					3	gsv,qty=3							gzv																																																																																							0
3 Flawless Amethysts -> Perfect Amethyst	1			0					3	gzv,qty=3							gpv																																																																																							0
3 Chipped Rubies -> Flawed Ruby	1			0					3	gcr,qty=3							gfr																																																																																							0
3 Flawed Rubies -> Standard Ruby	1			0					3	gfr,qty=3							gsr																																																																																							0
3 Standard Rubies -> Flawless Ruby	1			0					3	gsr,qty=3							glr																																																																																							0
3 Flawless Rubies -> Perfect Ruby	1			0					3	glr,qty=3							gpr																																																																																							0
3 Chipped Sapphires -> Flawed Sapphire	1			0					3	gcb,qty=3							gfb																																																																																							0
3 Flawed Sapphires -> Standard Sapphire	1			0					3	gfb,qty=3							gsb																																																																																							0
3 Standard Sapphires -> Flawless Sapphire	1			0					3	gsb,qty=3							glb																																																																																							0
3 Flawless Sapphires -> Perfect Sapphire	1			0					3	glb,qty=3							gpb																																																																																							0
3 Chipped Topazes -> Flawed Topaz	1			0					3	gcy,qty=3							gfy																																																																																							0
3 Flawed Topazes -> Standard Topaz	1			0					3	gfy,qty=3							gsy																																																																																							0
3 Standard Topazes -> Flawless Topaz	1			0					3	gsy,qty=3							gly																																																																																							0
3 Flawless Topazes -> Perfect Topaz	1			0					3	gly,qty=3							gpy																																																																																							0
3 Chipped Emeralds -> Flawed Emerald	1			0					3	gcg,qty=3							gfg																																																																																							0
3 Flawed Emeralds -> Standard Emerald	1			0					3	gfg,qty=3							gsg																																																																																							0
3 Standard Emeralds -> Flawless Emerald	1			0					3	gsg,qty=3							glg																																																																																							0
3 Flawless Emeralds -> Perfect Emerald	1			0					3	glg,qty=3							gpg																																																																																							0
3 Chipped Diamonds -> Flawed Diamond	1			0					3	gcw,qty=3							gfw																																																																																							0
3 Flawed Diamonds -> Standard Diamond	1			0					3	gfw,qty=3							gsw																																																																																							0
3 Standard Diamonds -> Flawless Diamond	1			0					3	gsw,qty=3							glw																																																																																							0
3 Flawless Diamonds -> Perfect Diamond	1			0					3	glw,qty=3							gpw																																																																																							0
3 Chipped Skulls -> Flawed Skull	1			0					3	skc,qty=3							skf																																																																																							0
3 Flawed Skulls -> Standard Skull	1			0					3	skf,qty=3							sku																																																																																							0
3 Standard Skulls -> Flawless Skull	1			0					3	sku,qty=3							skl																																																																																							0
3 Flawless Skulls -> Perfect Skull	1			0					3	skl,qty=3							skz																																																																																							0
3 El Runes -> Eld Rune	1			100					3	r01,qty=3							r02																																																																																							0
3 Eld Runes -> Tir Rune	1			100					3	r02,qty=3							r03																																																																																							0
3 Tir Runes -> Nef Rune	1			100					3	r03,qty=3							r04																																																																																							0
3 Nef Runes -> Eth Rune	1			100					3	r04,qty=3							r05																																																																																							0
3 Eth Runes -> Ith Rune	1			100					3	r05,qty=3							r06																																																																																							0
3 Ith Runes -> Tal Rune	1			100					3	r06,qty=3							r07																																																																																							0
3 Tal Runes -> Ral Rune	1			100					3	r07,qty=3							r08																																																																																							0
3 Ral Runes -> Ort Rune	1			100					3	r08,qty=3							r09																																																																																							0
3 Ort Runes -> Thul Rune	1			100					3	r09,qty=3							r10																																																																																							0
3 Perfect Gems (Any) + 1 Magic Item -> Re-rolled Magic Item	1			100					4	any,mag	gem4,qty=3						usetype,mag			100																																																																																				0
6 Perfect Skulls + 1 Rare Item -> 1 Low Quality Rare Item	1			0					7	any,rar	skz,qty=6						usetype,rar		40	40																																																																																				0
1 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> 1 High Quality Rare Item	1			0					3	any,rar	skz	The Stone of Jordan					usetype,rar		66	66																																																																																				0
3 Perfect Skull + 1 Rare Item + 1 Stone of Jordan -> Add 1 Socket to Rare Item	1			0					5	any,rar,nos	skz,qty=3	The Stone of Jordan					useitem,sock=1																																																																																							0
1 Magic Full Helm + 1 Jewel + 1 Ith Rune + 1 Perfect Sapphire -> Hit Power Helm	1			100					4	fhl,mag,upg	jew	r06	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
1 Magic Chain Boots + 1 Jewel + 1 Ral Rune + 1 Perfect Sapphire -> Hit Power Boots	1			100					4	mbt,mag,upg	jew	r08	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
1 Magic Chain Gloves + 1 Jewel + 1 Ort Rune + 1 Perfect Sapphire -> Hit Power Gloves	1			100					4	mgl,mag,upg	jew	r09	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
1 Magic Heavy Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Sapphire -> Hit Power Belt	1			100					4	tbl,mag,upg	jew	r07	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
1 Magic Gothic Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Sapphire -> Hit Power Shield	1			100					4	gts,mag,upg	jew	r05	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
1 Magic Field Plate + 1 Jewel + 1 Nef Rune + 1 Perfect Sapphire -> Hit Power Body	1			100					4	fld,mag,upg	jew	r04	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
1 Magic Amulet + 1 Jewel + Thul Rune + 1 Perfect Sapphire -> Hit Power Amulet	1			100					4	amul,mag	jew	r10	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Sapphire -> Hit Power Ring	1			100					4	ring,mag	jew	r11	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
1 Magic Blunt Weapon + 1 Jewel + 1 Tir Rune + 1 Perfect Sapphire -> Hit Power Weapon	1			100					4	blun,mag	jew	r03	gpb				usetype,crf		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
1 Magic Helm + 1 Jewel + 1 Ral Rune + 1 Perfect Ruby -> Blood Helm	1			100					4	hlm,mag,upg	jew	r08	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
1 Magic Light Plated Boots + 1 Jewel + 1 Eth Rune + 1 Perfect Ruby -> Blood Boots	1			100					4	tbt,mag,upg	jew	r05	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
1 Magic Heavy Gloves + 1 Jewel + 1 Nef Rune + 1 Perfect Ruby -> Blood Gloves	1			100					4	vgl,mag,upg	jew	r04	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
1 Magic Belt + 1 Jewel + 1 Tal Rune + 1 Perfect Ruby -> Blood Belt	1			100					4	mbl,mag,upg	jew	r07	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
1 Magic Spiked Shield + 1 Jewel + 1 Ith Rune + 1 Perfect Ruby -> Blood Shield	1			100					4	spk,mag,upg	jew	r06	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
1 Magic Plate Mail + 1 Jewel + 1 Thul Rune + 1 Perfect Ruby -> Blood Body	1			100					4	plt,mag,upg	jew	r10	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
1 Magic Amulet + 1 Jewel + 1 Amn Rune + 1 Perfect Ruby -> Blood Amulet	1			100					4	amul,mag	jew	r11	gpr				usetype,crf		50	50	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Sol Rune + 1 Perfect Ruby -> Blood Ring	1			100					4	ring,mag	jew	r12	gpr				usetype,crf		50	50	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
1 Magic Axe + 1 Jewel + Ort Rune + 1 Perfect Ruby -> Blood Weapon	1			100					4	axe,mag	jew	r09	gpr				usetype,crf		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
1 Magic Mask + 1 Jewel + Nef Rune + 1 Perfect Amethyst -> Caster Helm	1			100					4	msk,mag,upg	jew	r04	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
1 Magic Boots + 1 Jewel + Thul Rune + 1 Perfect Amethyst -> Caster Boots	1			100					4	lbt,mag,upg	jew	r10	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
1 Magic Leather Gloves + 1 Jewel + Ort Rune + 1 Perfect Amethyst -> Caster Gloves	1			100					4	lgl,mag,upg	jew	r09	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
1 Magic Light Belt + 1 Jewel + Ith Rune + 1 Perfect Amethyst -> Caster Belt	1			100					4	vbl,mag,upg	jew	r06	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Magic Small Shield + 1 Jewel + 1 Eth Rune + 1 Perfect Amethyst -> Caster Shield	1			100					4	sml,mag,upg	jew	r05	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
1 Magic Light Plate + 1 Jewel + 1 Tal Rune + 1 Perfect Amethyst -> Caster Body	1			100					4	ltp,mag,upg	jew	r07	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
1 Magic Amulet + 1 Jewel + 1 Ral Rune + 1 Perfect Amethyst -> Caster Amulet	1			100					4	amul,mag	jew	r08	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Amethyst -> Caster Ring	1			100					4	ring,mag	jew	r11	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
1 Magic Rod + 1 Jewel + 1 Tir Rune + 1 Perfect Amethyst -> Caster Weapon	1			100					4	rod,mag	jew	r03	gpv				usetype,crf		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
1 Magic Crown + 1 Jewel + 1 Ith Rune + 1 Perfect Emerald -> Safety Helm	1			100					4	crn,mag,upg	jew	r06	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
1 Magic Plated Boots + 1 Jewel + 1 Ort Rune + 1 Perfect Emerald -> Safety Boots	1			100					4	hbt,mag,upg	jew	r09	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
1 Magic Gauntlets + 1 Jewel + 1 Ral Rune + 1 Perfect Emerald -> Safety Gloves	1			100					4	hgl,mag,upg	jew	r08	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
1 Magic Sash + 1 Jewel + 1 Tal Rune + 1 Perfect Emerald -> Safety Belt	1			100					4	lbl,mag,upg	jew	r07	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
1 Magic Kite Shield + 1 Jewel + 1 Nef Rune + 1 Perfect Emerald -> Safety Shield	1			100					4	kit,mag,upg	jew	r04	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
1 Magic Breast Plate + 1 Jewel + 1 Eth Rune + 1 Perfect Emerald -> Safety Body	1			100					4	brs,mag,upg	jew	r05	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
1 Magic Amulet + 1 Jewel + 1 Thul Rune + 1 Perfect Emerald -> Safety Amulet	1			100					4	amul,mag	jew	r10	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
1 Magic Ring + 1 Jewel + 1 Amn Rune + 1 Perfect Emerald -> Safety Ring	1			100					4	ring,mag	jew	r11	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
1 Magic Spear + 1 Jewel + 1 Sol Rune + 1 Perfect Emerald -> Safety Weapon	1			100					4	spea,mag	jew	r12	gpg				usetype,crf		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
3 rune 10 + 1 chipped topaz -> rune 11	1			100					3	r10,qty=3							r11																																																																																							0
3 rune 11 + 1 chipped amethyst -> rune 12	1			100					3	r11,qty=3							r12																																																																																							0
3 rune 12 + 1 chipped sapphire -> rune 13	1			100					3	r12,qty=3							r13																																																																																							0
3 rune 13 + 1 chipped ruby -> rune 14	1			100					3	r13,qty=3							r14																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	1			100					3	r14,qty=3							r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	1			100					3	r15,qty=3							r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	1			100					3	r16,qty=3							r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	1			100					3	r17,qty=3							r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	1			100					3	r18,qty=3							r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	1			100					3	r19,qty=3							r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	1			100					2	r20,qty=2							r21																																																																																							0
2 rune 21 + 1 flawed diamond -> rune 22	1			100					2	r21,qty=2							r22																																																																																							0
2 rune 22 + 1 standard topaz -> rune 23	1			100					2	r22,qty=2							r23																																																																																							0
2 rune 23 + 1 standard amethyst -> rune 24	1			100					2	r23,qty=2							r24																																																																																							0
2 rune 24 + 1 standard sapphire -> rune 25	1			100					2	r24,qty=2							r25																																																																																							0
2 rune 25 + 1 standard ruby -> rune 26	1			100					2	r25,qty=2							r26																																																																																							0
2 rune 26 + 1 standard emerald -> rune 27	1			100					2	r26,qty=2							r27																																																																																							0
2 rune 27 + 1 standard diamond -> rune 28	1			100					2	r27,qty=2							r28																																																																																							0
2 rune 28 + 1 flawless topaz -> rune 29	1			100					2	r28,qty=2							r29																																																																																							0
2 rune 29 + 1 flawless amethyst -> rune 30	1			100					2	r29,qty=2							r30																																																																																							0
2 rune 30 + 1 flawless sapphire -> rune 31	1			100					2	r30,qty=2							r31																																																																																							0
2 rune 31 + 1 flawless ruby -> rune 32	1			100					2	r31,qty=2							r32																																																																																							0
2 rune 32 + 1 flawless emerald -> rune 33	1			100					2	r32,qty=2							r33																																																																																							0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1			100					4	tors,nor,nos	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1			100					4	weap,nor,nos	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1			100					4	helm,nor,nos	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1			100					4	shld,nor,nos	r07	r11	gpr				useitem				sock			1	6																																																																															0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1			100					3	weap,low	r02	gem0					usetype,nor																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	1			100					3	armo,low	r01	gem0					usetype,nor																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Basic Unique Weapon -> Exceptional Unique Weapon	1			100					4	weap,bas,uni	r08	r12	gpg				useitem,mod,exc				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Basic Unique Armor -> Exceptional Unique Armor	1			100					4	armo,bas,uni	r07	r13	gpw				useitem,mod,exc				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1			100					4	weap,exc,uni	r17	r21	gpg				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	1			100					4	armo,exc,uni	r18	r20	gpw				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Basic Rare Weapon -> Exceptional Rare Weapon	1			100					4	weap,bas,rar	r09	r11	gpb				useitem,mod,exc				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Basic Rare Armor -> Exceptional Rare Armor	1			100					4	armo,bas,rar	r08	r10	gpv				useitem,mod,exc				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1			100					4	weap,exc,rar	r19	r22	gpb				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	1			100					4	armo,exc,rar	r18	r21	gpv				useitem,mod,eli				levelreq			7	7																																																																															0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1			100					2	weap,noe	r09						useitem,rep,qty=255																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1			100					2	armo,noe	r08						useitem,rep,qty=255																																																																																							0
1 Ort Rune + 1 Chipped Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1			100					3	weap,noe	r09	gem0					useitem,rep,rch,qty=255																																																																																							0
1 Ral Rune + 1 Flawed Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1			100					3	armo,noe	r08	gem1					useitem,rep,rch,qty=255																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1			100					3	any,sock	r15	tsc					useitem,uns																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Armor -> Tempered Armor	1			100					3	armo,hiq,nos	jew	r08					useitem,tmp																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Weapon -> Tempered Weapon	1			100					3	weap,hiq,nos	jew	r08					useitem,tmp																																																																																							0
1 Ral Rune + 1 Jewel + Magic Ring -> Tempered Ring	1			100					3	ring,mag	jew	r08					usetype,tmp				levelreq			3	3																																																																															0
1 Ral Rune + 1 Jewel + 1 Magic Amulet -> Tempered Amulet	1			100					3	amu,mag	jew	r08					usetype,tmp				levelreq			5	5																																																																															0
1 El Rune + 1 Chipped Gem (Any) + 1 Tempered Weapon -> Weapon With Extra Attack Rating	1			100					3	weap,tmp	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
3 Chipped Gems (Any) + 1 Magic Weapon -> Socketed Magic Weapon	1			0					4	weap,mag	gem0,qty=3						usetype,mag	25		50	sock			1	2																																																																															0
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
1 Diablo's Horn + 1 Baal's Eye + 1 Mephisto's Brain -> Portal to Tristram (Pandemonium Finale)	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction -> Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
3 chipped gems + 1 magic weapon -> socketed, magic weapon	1			0					4	weap,mag	gem0,qty=3						usetype,mag	25		50	sock			1	2																																																																															0
Replenish Unique Arrows	1			100					2	Replenishing Quiver	hpot						useitem,rep,qty=500		100		rep-quant	100	100																																																																																	0
Replenishing Quiver	1			100					3	aqv,any	gsv	r03					Replenishing Quiver		100		rep-quant	100	100																																																																																	0
Replenish Unique Arrows	1			100					2	Quiver of Piercing	hpot						useitem,rep,qty=500		100		rep-quant	100	100																																																																																	0
Quiver of Piercing	1			100					3	aqv,any	gpy	r10					Quiver of Piercing		100		rep-quant	100	100																																																																																	0
Replenish Unique Arrows	1			100					2	Quiver of Slaying	hpot						useitem,rep,qty=500		100		rep-quant	100	100																																																																																	0
Quiver of Slaying	1			100					3	aqv,any	gpb	r19					Quiver of Slaying		100		rep-quant	100	100																																																																																	0
Replenish Unique Arrows	1			100					2	Replenishing Bolt Case	hpot						useitem,rep,qty=500		100		rep-quant	100	100																																																																																	0
Replenishing Bolt Case	1			100					3	cqv,any	gsv	r03					Replenishing Bolt Case		100		rep-quant	100	100																																																																																	0
Replenish Unique Arrows	1			100					2	Bolt Case of Piercing	hpot						useitem,rep,qty=500		100		rep-quant	100	100																																																																																	0
Bolt Case of Piercing	1			100					3	cqv,any	gpy	r10					Bolt Case of Piercing		100		rep-quant	100	100																																																																																	0
Replenish Unique Bolts	1			100					2	Bolt Case of Slaying	hpot						useitem,rep,qty=500		100		rep-quant	100	100																																																																																	0
Bolt Case of Slaying	1			100					3	cqv,any	gpb	r19					Bolt Case of Slaying		100		rep-quant	100	100																																																																																	0
2 Socket Armor	1			100					2	armo,mag	r12						usetype,nor		100		sock	100	2																																																																																	0
3 Socket Armor	1			100					2	armo,mag	r13						usetype,nor		100		sock	100	3																																																																																	0
4 Socket Armor	1			100					2	armo,mag	r14						usetype,nor		100		sock	100	4																																																																																	0
2 Socket Weapon	1			100					2	weap,mag	r11						usetype,nor		100		sock	100	2																																																																																	0
3 Socket Weapon	1			100					2	weap,mag	r12						usetype,nor		100		sock	100	3																																																																																	0
4 Socket Weapon	1			100					2	weap,mag	r13						usetype,nor		100		sock	100	4																																																																																	0
