Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7
Act 1 - Cave 3	10	0	0			3	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	69	4	37	69	600	1200	1800	0	0	25	25	25	25	1	0	25	bighead3	fallen2	corruptrogue2	sk_archer1																							bighead3	fallen2	corruptrogue2	sk_archer1																						bighead3	fallen2	corruptrogue2	sk_archer1	bighead3	fallen2	goatman2	cr_archer2	skeleton3	fallen3	corruptrogue3	cr_archer3	zombie1	goatman2	fallenshaman1	skeleton3	sk_archer8	wraith4	cr_lancer5	skmage_fire7	quillrat6					rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	EnteringUndergroundPassageLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0
Act 1 - Cave 4	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	30	70	5	38	80	600	1200	1800	0	0	25	25	25	25	1	0	25	bighead3	fallen2	brute2	cr_archer2																							bighead3	fallen2	brute2	cr_archer2																						bighead3	fallen2	brute2	cr_archer2	fallen2	corruptrogue2	quillrat2	cr_lancer2	skeleton1	zombie2	fallen2	corruptrogue2	sk_archer1	goatman2	batdemon7	fallenshaman5	sk_archer4	skmage_ltng7	batdemon6							rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	EnteringTheHoleLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0
Act 1 - Cave 5	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	72	7	39	85	600	1200	1800	0	0	25	25	25	25	1	0	25	skeleton3	fallen3	corruptrogue3	cr_archer3																							skeleton3	fallen3	corruptrogue3	cr_archer3																						skeleton3	fallen3	corruptrogue3	cr_archer3	zombie1	fallen1	quillrat1	skeleton3	skeleton1	zombie2	skeleton1	zombie2	cr_archer1	skeleton1	wraith8	sk_archer6	sk_archer5	skmage_cold6	wraith7							rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	EnteringThePitLevel1	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0
Act 1 - Cave 2 Treasure	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	67	2	37	78	600	1200	1800	0	0	25	25	25	25	1	0	25	skeleton1	zombie2	cr_archer1																								skeleton1	zombie2	cr_archer1																							skeleton1	zombie2	cr_archer1	skeleton1	zombie2	cr_lancer3	goatman1	zombie2	skeleton1	zombie2	skeleton3	fallen3	corruptrogue3	cr_archer3	quillrat8	sk_archer7	sk_archer2	skmage_pois7	cr_lancer9							rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	EnteringTheCaveLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Cave 3 Treasure	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	69	4	38	83	600	1200	1800	0	0	25	25	25	25	1	0	25	bighead3	fallen2	corruptrogue2	sk_archer1																							bighead3	fallen2	corruptrogue2	sk_archer1																						bighead3	fallen2	corruptrogue2	sk_archer1	fallen2	corruptrogue2	quillrat2	cr_lancer2	zombie1	fallen1	quillrat1	skeleton3	goatman1	skeleton2	goatman2	wraith9	sk_archer8	cr_lancer5	skeleton7	skeleton8						rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	EnteringUndergroundPassageLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Cave 4 Treasure	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	30	70	5	39	81	600	1200	1800	0	0	25	25	25	25	1	0	25	bighead3	fallen2	brute2	cr_archer2																							bighead3	fallen2	brute2	cr_archer2																						bighead3	fallen2	brute2	cr_archer2	zombie2	skeleton2	skeleton1	goatman2	zombie1	corruptrogue1	fallenshaman1	cr_lancer1	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	flyingscimitar	sk_archer9	sk_archer2	flyingscimitar	sk_archer5					rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	EnteringTheHoleLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Cave 5 Treasure	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	72	7	40	85	600	1200	1800	0	0	25	25	25	25	1	0	25	skeleton3	fallen3	corruptrogue3	cr_archer3																							skeleton3	fallen3	corruptrogue3	cr_archer3																						skeleton3	fallen3	corruptrogue3	cr_archer3	zombie1	fallen2	fallenshaman1	corruptrogue2	skeleton1	zombie2	corruptrogue4	goatman1	cr_archer1	zombie1	cr_archer2	fallenshaman1	cr_lancer9	sk_archer10	skeleton8	vampire9	sk_archer8					rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	EnteringThePitLevel2	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0
Act 1 - Graveyard	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	3	28	68	3	36	80	520	1040	1560	0	0	25	25	25	25	1	0	25	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2	fallen2	corruptrogue2	sk_archer1	cr_archer1	sk_archer1	skeleton3	fallen2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	skeleton3	fallen3	corruptrogue3	flyingscimitar	quillrat6	skmage_cold6	wraith9	skmage_ltng7																	0	2	255	Burial Grounds	To The Burial Grounds	EnteringTheBurialGrounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Crypt 1 A	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	68	3	37	83	1056	2112	3168	0	0	25	25	25	25	1	0	25	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2	skeleton1	zombie2	cr_archer1	skeleton1	fallen2	fallen3	zombie2	skeleton2	skeleton3	goatman2	fallenshaman2	cr_archer2	skeleton1	zombie1	foulcrow3	quillrat7	foulcrow4	batdemon6	fallen6					rat	bat			30	30							8	5	255	Crypt	To The Crypt	EnteringTheCrypt	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0
Act 1 - Crypt 2 A	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	68	3	37	85	1056	2112	3168	0	0	25	25	25	25	1	0	25	skeleton1	zombie2																									skeleton1	zombie2																								skeleton1	zombie2	skeleton3	fallen3	corruptrogue3	cr_archer3	zombie2	fallenshaman1	corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1	skeleton1	zombie2	fallenshaman8	flyingscimitar	quillrat8	batdemon6	batdemon7						rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	EnteringTheMausoleum	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0
Act 1 - Tower 2	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	72				0	0	0		0	25	25	25	25	1	0																																																																														rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	EnteringTheForgottenTower	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Act 1 - Crypt 3 A	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	72	7	38	88	1024	2048	3072	0	0	25	25	25	25	1	0	25	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3	corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	bighead6	unraveler4	unraveler5	goatman6	goatman7				fallen3	wraith1	goatman3	cr_archer3	corruptrogue4	goatman5	fallenshaman3	sk_archer3	skmage_fire2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	bighead6	unraveler4	unraveler5	goatman6	goatman7				rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	EnteringTheTowerCellarLevel1	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 B	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	72	7	39	88	1024	2048	3072	0	0	25	25	25	25	1	0	25	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	foulcrow5	unraveler5	bighead7	cr_lancer4	fallen6				fallen3	wraith1	goatman3	cr_archer3	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	foulcrow5	unraveler5	bighead7	cr_lancer4	fallen6				rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	EnteringTheTowerCellarLevel2	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 C	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	72	7	40	88	1024	2048	3072	0	0	25	25	25	25	1	0	25	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	bighead9	bighead6	sk_archer2	wraith8	batdemon7				fallen3	wraith1	goatman3	cr_archer3	fallen4	wraith2	goatman5	sk_archer3	skmage_fire2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	bighead9	bighead6	sk_archer2	wraith8	batdemon7				rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	EnteringTheTowerCellarLevel3	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 D	24	0	0			16	200	200	200	200	200	200	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	72	7	41	88	1024	2048	3072	0	0	25	25	25	25	1	0	25	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3	fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	cr_lancer5	bighead7	bighead10	goatman8	cr_lancer4				fallen3	wraith1	goatman3	cr_archer3	fallen4	wraith2	goatman5	sk_archer3	skmage_ltng2	skeleton2	goatman2	fallenshaman2	sk_archer1	cr_archer3	corruptrogue4	goatman5	goatman3	cr_lancer5	bighead7	bighead10	goatman8	cr_lancer4				rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	EnteringTheTowerCellarLevel4	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Crypt 3 E	25	0	0			17	30	30	30	30	30	30	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	72	7	42	88	1024	2048	3072	0	0	25	25	25	25	1	0	25	fallen3	wraith1	goatman3	cr_archer3																							fallen3	wraith1	goatman3	cr_archer3	fallen4	cr_archer4	skmage_ltng2	corruptrogue4	bighead2	wraith2	fallenshaman4	fallen3	wraith1	goatman3	cr_archer3	goatman9	bighead8	foulcrow6	goatman10	cr_lancer9						fallen3	wraith1	goatman3	cr_archer3	fallen4	cr_archer4	skmage_ltng2	corruptrogue4	bighead2	wraith2	fallenshaman4	fallen3	wraith1	goatman3	cr_archer3	goatman9	bighead8	foulcrow6	goatman10	cr_lancer9						rat	bat			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	EnteringTheTowerCellarLevel5	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
Act 1 - Monastery	26	0	0			0	64	18	64	18	64	18	3000	1000	0	1	0	0	0	1	1	1	0	0	2	5	-1	-1	-1	-1	0	27	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	8	33	73	8	40	88	600	1200	1800	0	0	25	25	25	25	1	0	25	bighead4	corruptrogue3	sk_archer2	skmage_ltng1																							bighead4	corruptrogue3	sk_archer2	skmage_ltng1	bighead2	wraith2	fallenshaman4	arach1	bighead2	fallenshaman4	fetish1	fallen3	wraith1	goatman3	cr_archer3	sk_archer6	bighead9	skeleton7	skeleton8	sk_archer11						bighead4	corruptrogue3	sk_archer2	skmage_ltng1	bighead2	wraith2	fallenshaman4	arach1	bighead2	fallenshaman4	fetish1	fallen3	wraith1	goatman3	cr_archer3	sk_archer6	bighead9	skeleton7	skeleton8	sk_archer11																		48	6	255	Monastery Gate	To The Monastery Gate	EnteringTheMonasteryGate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
