Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
13	78	214	326	78	252	384	122	324	672	122	324	672	66	460	3850	66	460	5135	9	18	34	9	12	17	154	401	602	154	401	602
14	84	224	342	84	264	402	133	342	710	133	342	710	72	473	3927	72	473	5236	10	20	38	10	13	19	169	440	660	169	440	660
15	90	235	356	90	276	419	144	360	748	144	360	748	78	490	4008	78	490	5345	10	20	38	10	13	19	186	482	723	186	482	723
16	96	245	371	96	288	437	155	378	786	155	378	786	84	508	4085	84	508	5446	11	23	40	11	15	20	205	533	800	205	533	800
17	102	255	386	102	300	454	166	396	824	166	396	824	90	523	4165	90	523	5555	11	23	40	11	15	20	225	584	876	225	584	876
18	108	265	401	108	312	472	177	414	862	177	414	862	96	540	4242	96	540	5656	12	24	44	12	16	22	248	644	966	248	644	966
19	114	275	417	114	324	490	188	432	900	188	432	900	102	553	4323	102	553	5765	13	26	48	13	17	24	273	708	1062	273	708	1062
20	120	286	431	120	336	507	199	450	938	199	450	938	110	570	4400	110	570	5866	13	26	48	13	17	24	300	779	1169	300	779	1169
21	126	296	446	126	348	525	210	468	976	210	468	976	117	590	4480	117	590	5975	14	29	52	14	19	26	330	857	1286	330	857	1286
22	132	306	461	132	360	542	221	486	1014	221	486	1014	126	608	4557	126	608	6076	14	29	52	14	19	26	363	942	1413	363	942	1413
23	138	316	476	138	372	560	232	504	1052	232	504	1052	134	620	4638	134	620	6185	15	30	56	15	20	28	399	1035	1553	399	1035	1553
24	144	326	491	144	384	578	243	522	1090	243	522	1090	141	638	4715	141	638	6286	16	32	60	16	21	30	439	1139	1709	439	1139	1709
25	150	337	506	150	396	595	254	540	1128	254	540	1128	150	653	4795	150	653	6395	16	32	60	16	21	30	470	1220	1830	470	1220	1830
26	156	347	521	156	408	613	265	558	1166	265	558	1166	159	670	4872	159	670	6496	17	35	62	17	23	31	503	1305	1958	503	1305	1958
27	162	357	536	162	420	630	276	576	1204	276	576	1204	170	688	4953	170	688	6605	17	35	62	17	23	31	538	1397	2096	538	1397	2096
28	168	367	551	168	432	648	287	594	1242	287	594	1242	180	700	5030	180	700	6706	18	36	66	18	24	33	576	1494	2241	576	1494	2241
29	174	377	566	174	444	666	298	612	1280	298	612	1280	189	718	5110	189	718	6815	19	38	70	19	25	35	616	1598	2397	616	1598	2397
30	180	388	581	180	456	683	309	630	1318	309	630	1318	201	800	5187	201	800	6916	19	38	70	19	25	35	659	1709	2564	659	1709	2564
31	186	398	596	186	468	701	320	648	1356	320	648	1356	213	888	5268	213	888	7025	20	41	74	20	27	37	706	1832	2748	706	1832	2748
32	192	408	610	192	480	718	331	666	1394	331	666	1394	225	970	5345	225	970	7126	20	41	74	20	27	37	755	1958	2937	755	1958	2937
33	198	418	626	198	492	736	342	684	1432	342	684	1432	237	1058	5425	237	1058	7235	21	42	78	21	28	39	808	2097	3146	808	2097	3146
34	204	428	641	204	504	754	353	702	1470	353	702	1470	249	1140	5502	249	1140	7336	22	44	82	22	29	41	864	2241	3362	864	2241	3362
35	210	439	655	210	516	771	364	720	1508	364	720	1508	261	1228	5583	261	1228	7445	22	44	82	22	29	41	925	2399	3599	925	2399	3599
36	216	449	671	216	528	789	375	738	1546	375	738	1546	273	1313	5660	273	1313	7546	23	47	86	23	31	43	990	2568	3852	990	2568	3852
37	222	459	685	222	540	806	386	756	1584	386	756	1584	285	1398	5740	285	1398	7655	23	47	86	23	31	43	1059	2745	4118	1059	2745	4118
38	228	469	700	228	552	824	397	774	1622	397	774	1622	297	1483	5817	297	1483	7756	24	48	88	24	32	44	1133	2939	4409	1133	2939	4409
39	234	479	716	234	564	842	408	792	1660	408	792	1660	309	1568	5898	309	1568	7865	25	50	92	25	33	46	1212	3144	4716	1212	3144	4716
40	240	490	730	240	576	859	419	810	1698	419	810	1698	323	1653	5975	323	1653	7966	25	50	92	25	33	46	1297	3365	5048	1297	3365	5048
41	246	500	745	246	588	877	430	828	1736	430	828	1736	338	1740	6055	338	1740	8075	26	53	96	26	35	48	1388	3600	5400	1388	3600	5400
42	252	510	760	252	600	894	441	846	1774	441	846	1774	351	1823	6132	351	1823	8176	26	53	96	26	35	48	1485	3852	5778	1485	3852	5778
43	258	520	775	258	612	912	452	864	1812	452	864	1812	365	1910	6213	365	1910	8285	27	54	100	27	36	50	1589	4121	6182	1589	4121	6182
44	264	530	791	264	624	930	463	882	1850	463	882	1850	380	1993	6290	380	1993	8386	28	56	104	28	37	52	1693	4409	6614	1693	4409	6614
45	270	541	805	270	636	947	474	900	1888	474	900	1888	393	2080	6370	393	2080	8495	28	56	104	28	37	52	1797	4718	7077	1797	4718	7077
46	276	551	820	276	648	965	485	918	1926	485	918	1926	407	2168	6447	407	2168	8596	29	59	108	29	39	54	1901	5051	7577	1901	5051	7577
47	282	561	835	282	660	982	496	936	1964	496	936	1964	422	2250	6528	422	2250	8705	29	59	108	29	39	54	2005	5402	8103	2005	5402	8103
48	288	571	850	288	672	1000	507	954	2002	507	954	2002	435	2338	6605	435	2338	8806	30	60	112	30	40	56	2109	5783	8675	2109	5783	8675
49	294	581	865	294	684	1018	518	972	2040	518	972	2040	449	2420	6685	449	2420	8915	31	62	114	31	41	57	2213	6186	9279	2213	6186	9279
50	300	592	880	300	696	1035	529	990	2078	529	990	2078	465	2508	6762	465	2508	9016	31	62	114	31	41	57	2317	6618	9927	2317	6618	9927
51	306	602	895	306	708	1053	540	1008	2116	540	1008	2116	482	2593	6843	482	2593	9125	32	65	118	32	43	59	2421	7080	10620	2421	7080	10620
52	312	612	910	312	720	1070	551	1026	2154	551	1026	2154	497	2678	6920	497	2678	9226	32	65	118	32	43	59	2525	7506	11259	2525	7506	11259
53	318	622	925	318	732	1088	562	1044	2192	562	1044	2192	513	2763	7000	513	2763	9335	33	66	122	33	44	61	2629	7956	11934	2629	7956	11934
54	324	632	940	324	744	1106	573	1062	2230	573	1062	2230	528	2848	7105	528	2848	9475	34	68	126	34	45	63	2733	8435	12653	2733	8435	12653
55	330	643	955	330	756	1123	584	1080	2268	584	1080	2268	545	2933	7263	545	2933	9685	34	68	126	34	45	63	2837	8942	13413	2837	8942	13413
56	336	653	970	336	768	1141	595	1098	2306	595	1098	2306	561	3020	7473	561	3020	9965	35	71	130	35	47	65	2941	9477	14216	2941	9477	14216
57	342	663	984	342	780	1158	606	1116	2344	606	1116	2344	576	3103	7777	576	3103	10367	35	71	130	35	47	65	3045	10044	15066	3045	10044	15066
58	348	673	1000	348	792	1176	617	1134	2382	617	1134	2382	593	3190	8078	593	3190	10770	36	72	134	36	48	67	3149	10647	15971	3149	10647	15971
59	354	683	1015	354	804	1194	628	1152	2420	628	1152	2420	609	3273	8379	609	3273	11172	37	74	136	37	49	68	3253	11286	16929	3253	11286	16929
60	360	694	1029	360	816	1211	639	1170	2458	639	1170	2458	627	3360	8680	627	3360	11575	37	74	136	37	49	68	3357	11964	17946	3357	11964	17946
61	366	704	1045	366	828	1229	650	1188	2496	650	1188	2496	645	3448	8985	645	3448	11977	38	77	140	38	51	70	3461	12680	19020	3461	12680	19020
62	372	714	1059	372	840	1246	661	1206	2534	661	1206	2534	663	3530	9286	663	3530	12380	38	77	140	38	51	70	3565	13442	20163	3565	13442	20163
63	378	724	1074	378	852	1264	672	1224	2572	672	1224	2572	681	3618	9587	681	3618	12782	39	78	144	39	52	72	3669	14249	21374	3669	14249	21374
64	384	734	1090	384	864	1282	683	1242	2610	683	1242	2610	699	3700	9888	699	3700	13185	39	78	144	39	52	72	3773	15104	22656	3773	15104	22656
65	390	745	1104	390	876	1299	694	1260	2648	694	1260	2648	716	3788	10192	716	3788	13587	40	80	148	40	53	74	3877	16010	24015	3877	16010	24015
66	396	755	1119	396	888	1317	705	1278	2686	705	1278	2686	734	3873	10493	734	3873	13990	41	83	152	41	55	76	3981	16916	25374	3981	16916	25374
67	402	765	1134	402	900	1334	716	1296	2724	716	1296	2724	752	3958	10794	752	3958	14392	41	83	152	41	55	76	4085	17822	26733	4085	17822	26733
68	408	775	1149	408	912	1352	727	1314	2762	727	1314	2762	770	4043	11095	770	4043	14795	42	84	156	42	56	78	4189	18728	28092	4189	18728	28092
69	414	785	1165	414	924	1370	738	1332	2800	738	1332	2800	788	4128	11400	788	4128	15197	43	86	160	43	57	80	4293	19634	29451	4293	19634	29451
70	420	796	1179	420	936	1387	749	1350	2838	749	1350	2838	809	4213	11701	809	4213	15600	43	86	160	43	57	80	4397	20540	30810	4397	20540	30810
71	426	806	1194	426	948	1405	760	1368	2876	760	1368	2876	828	4300	12002	828	4300	16002	44	89	162	44	59	81	4501	21446	32169	4501	21446	32169
72	432	816	1209	432	960	1422	771	1386	2914	771	1386	2914	848	4383	12303	848	4383	16405	44	89	162	44	59	81	4605	22352	33528	4605	22352	33528
73	438	826	1224	438	972	1440	782	1404	2952	782	1404	2952	869	4470	12607	869	4470	16807	45	90	166	45	60	83	4709	23258	34887	4709	23258	34887
74	444	836	1239	444	984	1458	793	1422	2990	793	1422	2990	888	4553	12908	888	4553	17210	46	92	170	46	61	85	4813	24164	36246	4813	24164	36246
75	450	847	1254	450	996	1475	804	1440	3028	804	1440	3028	908	4640	13209	908	4640	17612	46	92	170	46	61	85	4917	25070	37605	4917	25070	37605
76	456	857	1269	456	1008	1493	815	1458	3066	815	1458	3066	927	4728	13510	927	4728	18015	47	95	174	47	63	87	5021	25976	38964	5021	25976	38964
77	462	867	1284	462	1020	1510	826	1476	3104	826	1476	3104	948	4810	13815	948	4810	18417	47	95	174	47	63	87	5125	26882	40323	5125	26882	40323
78	468	877	1299	468	1032	1528	837	1494	3142	837	1494	3142	968	4898	14116	968	4898	18820	48	96	178	48	64	89	5229	27788	41682	5229	27788	41682
79	474	887	1314	474	1044	1546	848	1512	3180	848	1512	3180	987	4980	14417	987	4980	19222	49	98	182	49	65	91	5333	28694	43041	5333	28694	43041
80	480	898	1329	480	1056	1563	859	1530	3218	859	1530	3218	1010	5068	14718	1010	5068	19625	49	98	182	49	65	91	5437	29600	44400	5437	29600	44400
81	486	908	1344	486	1068	1581	870	1548	3256	870	1548	3256	1032	5153	15022	1032	5153	20027	50	101	186	50	67	93	5541	30506	45759	5541	30506	45759
82	492	918	1358	492	1080	1598	881	1566	3294	881	1566	3294	1053	5238	15323	1053	5238	20430	50	101	186	50	67	93	5645	31412	47118	5645	31412	47118
83	498	928	1374	498	1092	1616	892	1584	3332	892	1584	3332	1076	5323	15624	1076	5323	20832	51	102	188	51	68	94	5749	32318	48477	5749	32318	48477
84	504	938	1389	504	1104	1634	903	1602	3370	903	1602	3370	1098	5408	15925	1098	5408	21235	51	102	188	51	68	94	5853	33224	49836	5853	33224	49836
85	510	949	1403	510	1116	1651	914	1620	3408	914	1620	3408	1119	5493	16230	1119	5493	21637	52	104	192	52	69	96	5957	34130	51195	5957	34130	51195
86	516	959	1419	516	1128	1669	925	1638	3446	925	1638	3446	1142	5580	16531	1142	5580	22040	53	105	196	53	70	98	6061	35036	52554	6061	35036	52554
87	522	969	1433	522	1140	1686	936	1656	3484	936	1656	3484	1163	5663	16832	1163	5663	22442	53	105	196	53	70	98	6165	35942	53913	6165	35942	53913
88	528	979	1448	528	1152	1704	947	1674	3522	947	1674	3522	1185	5750	17133	1185	5750	22845	54	108	200	54	72	100	6269	36848	55272	6269	36848	55272
89	534	989	1464	534	1164	1722	958	1692	3560	958	1692	3560	1208	5833	17437	1208	5833	23247	55	110	204	55	73	102	6373	37754	56631	6373	37754	56631
90	540	1000	1478	540	1176	1739	969	1710	3598	969	1710	3598	1232	5920	17738	1232	5920	23650	55	110	204	55	73	102	6477	38660	57990	6477	38660	57990
91	546	1010	1493	546	1188	1757	980	1728	3636	980	1728	3636	1256	6008	18039	1256	6008	24052	56	111	208	56	74	104	6581	39566	59349	6581	39566	59349
92	552	1020	1508	552	1200	1774	991	1746	3674	991	1746	3674	1280	6090	18340	1280	6090	24455	56	111	208	56	74	104	6685	40472	60708	6685	40472	60708
93	558	1030	1523	558	1212	1792	1002	1764	3712	1002	1764	3712	1302	6178	18645	1302	6178	24857	57	114	210	57	76	105	6789	41378	62067	6789	41378	62067
94	564	1040	1539	564	1224	1810	1013	1782	3750	1013	1782	3750	1326	6260	18946	1326	6260	25260	58	116	214	58	77	107	6893	42284	63426	6893	42284	63426
95	570	1051	1553	570	1236	1827	1024	1800	3788	1024	1800	3788	1350	6348	19247	1350	6348	25662	58	116	214	58	77	107	6997	43190	64785	6997	43190	64785
96	576	1061	1568	576	1248	1845	1035	1818	3826	1035	1818	3826	1374	6433	19548	1374	6433	26065	59	117	218	59	78	109	7101	44096	66144	7101	44096	66144
97	582	1071	1583	582	1260	1862	1046	1836	3864	1046	1836	3864	1398	6518	19852	1398	6518	26467	59	117	218	59	78	109	7205	45002	67503	7205	45002	67503
98	588	1081	1598	588	1272	1880	1057	1854	3902	1057	1854	3902	1422	6603	20153	1422	6603	26870	60	120	222	60	80	111	7309	45908	68862	7309	45908	68862
99	594	1091	1613	594	1284	1898	1068	1872	3940	1068	1872	3940	1446	6688	20454	1446	6688	27272	60	120	222	60	80	111	7413	46814	70221	7413	46814	70221
100	600	1102	1628	600	1296	1915	1079	1890	3978	1079	1890	3978	1473	6773	20755	1473	6773	27675	61	122	226	61	81	113	7517	47720	71580	7517	47720	71580
101	606	1112	1643	606	1308	1933	1090	1908	4016	1090	1908	4016	1499	6860	21060	1499	6860	28077	62	123	230	62	82	115	7621	48626	72939	7621	48626	72939
102	612	1122	1658	612	1320	1950	1101	1926	4054	1101	1926	4054	1524	6943	21361	1524	6943	28480	62	123	230	62	82	115	7725	49532	74298	7725	49532	74298
103	618	1132	1673	618	1332	1968	1112	1944	4092	1112	1944	4092	1550	7030	21662	1550	7030	28882	63	126	234	63	84	117	7829	50438	75657	7829	50438	75657
104	624	1142	1688	624	1344	1986	1123	1962	4130	1123	1962	4130	1577	7113	21963	1577	7113	29285	63	126	234	63	84	117	7933	51344	77016	7933	51344	77016
105	630	1153	1703	630	1356	2003	1134	1980	4168	1134	1980	4168	1602	7200	22267	1602	7200	29687	64	128	236	64	85	118	8037	52250	78375	8037	52250	78375
106	636	1163	1718	636	1368	2021	1145	1998	4206	1145	1998	4206	1628	7288	22568	1628	7288	30090	65	129	240	65	86	120	8141	53156	79734	8141	53156	79734
107	642	1173	1732	642	1380	2038	1156	2016	4244	1156	2016	4244	1655	7370	22869	1655	7370	30492	65	129	240	65	86	120	8245	54062	81093	8245	54062	81093
108	648	1183	1748	648	1392	2056	1167	2034	4282	1167	2034	4282	1680	7458	23170	1680	7458	30895	66	132	244	66	88	122	8349	54968	82452	8349	54968	82452
109	654	1193	1763	654	1404	2074	1178	2052	4320	1178	2052	4320	1706	7540	23475	1706	7540	31297	67	134	248	67	89	124	8453	55874	83811	8453	55874	83811
110	2100	2100	2100	2100	2100	2100	6532	6532	6532	6532	6532	6532	10000	10000	10000	10000	10000	10000	130	130	260	130	130	130	160000	160000	160000	160000	160000	160000
