name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
Crusader's2	100	1	1	45	70	37				2	111	deadly		12	12	dmg%		80	80					lgld	weap							orb	wand				0	0
Crusader's3	100	1	1	45	70	37				2	111	crush		12	12	dmg%		80	80					lgld	weap							orb	wand				0	0
Crusader's4	100	1	1	45	70	37				2	111	openwounds		35	35	dmg%		80	80					lgld	weap							orb	wand				0	0
Knight's	100	1	1	52	80	45				4	111	att		150	150	dmg%		100	100					lgld	weap							orb	wand				0	0
Knight's1	100	1	1	52	80	45				2	111	deadly		14	14	dmg%		100	100					lgld	weap							orb	wand				0	0
Knight's2	100	1	1	52	80	45				2	111	crush		14	14	dmg%		100	100					lgld	weap							orb	wand				0	0
Knight's3	100	1	1	52	80	45				2	111	openwounds		44	44	dmg%		100	100					lgld	weap							orb	wand				0	0
Lord's	100	1	1	58		53				4	111	att		175	175	dmg%		133	133					lgld	weap							orb	wand				0	0
Lord's1	100	1	1	65		60				2	111	deadly		16	16	dmg%		133	133					lgld	weap							orb	wand				0	0
Lord's2	100	1	1	65		60				2	111	crush		16	16	dmg%		133	133					lgld	weap							orb	wand				0	0
Lord's3	100	1	1	65		60				2	111	openwounds		57	57	dmg%		133	133					lgld	weap							orb	wand				0	0
Overlord's1	100	1	1	65		59				4	111	att		200	200	dmg%		166	166					lgld	weap							orb	wand				0	0
Overlord's2	100	1	1	70		65				2	111	deadly		18	18	dmg%		166	166					lgld	weap							orb	wand				0	0
Overlord's3	100	1	1	70		65				2	111	crush		18	18	dmg%		166	166					lgld	weap							orb	wand				0	0
Overlord's4	100	1	1	70		65				2	111	openwounds		67	67	dmg%		166	166					lgld	weap							orb	wand				0	0
King's	100	1	1	70		63				4	111	att		225	225	dmg%		200	200					dgld	weap							orb	wand				0	0
King's1	100	1	1	74		69				2	111	deadly		20	20	dmg%		200	200					dgld	weap							orb	wand				0	0
King's2	100	1	1	74		69				2	111	crush		20	20	dmg%		200	200					dgld	weap							orb	wand				0	0
King's3	100	1	1	74		69				2	111	openwounds		75	75	dmg%		200	200					dgld	weap							orb	wand				0	0
Master's	100	1	1	74		70				4	111	att		225	225	dmg%		250	250					dgld	weap							orb	wand				0	0
Master's1	100	1	1	79		77				2	111	deadly		24	24	dmg%		250	250					dgld	weap							orb	wand				0	0
Master's2	100	1	1	79		77				2	111	crush		24	24	dmg%		250	250					dgld	weap							orb	wand				0	0
Master's3	100	1	1	79		77				2	111	openwounds		83	83	dmg%		250	250					dgld	weap							orb	wand				0	0
Highmaster's1	100	1	1	79		79				4	111	att		275	275	dmg%		300	300					dgld	weap							orb	wand				0	0
Highmaster's2	100	1	1	83		82				2	111	deadly		26	26	dmg%		300	300					dgld	weap							orb	wand				0	0
Highmaster's3	100	1	1	83		82				2	111	crush		26	26	dmg%		300	300					dgld	weap							orb	wand				0	0
Highmaster's4	100	1	1	83		82				2	111	openwounds		93	93	dmg%		300	300					dgld	weap							orb	wand				0	0
Grandmaster's	100	1	1	84		88				4	111	att		300	300	dmg%		350	350					dgld	weap							orb	wand				0	0
Grandmaster's1	100	1	1	86		88				2	111	deadly		30	30	dmg%		350	350					dgld	weap							orb	wand				0	0
Grandmaster's2	100	1	1	86		88				2	111	crush		30	30	dmg%		350	350					dgld	weap							orb	wand				0	0
Grandmaster's3	100	1	1	86		88				2	111	openwounds		100	100	dmg%		350	350					dgld	weap							orb	wand				0	0
Stout	100	1	1	1	40	1				4	111	ac		5	5	dmg%		20	20						weap												0	0
Stout	100	1	1	7	50	5				4	111	ac		9	9	dmg%		30	30						weap												0	0
Stout	100	1	1	12	55	9				4	111	ac		12	12	dmg%		40	40						weap												0	0
Burly	100	1	1	17	70	12				4	111	ac		15	15	dmg%		50	50						weap												0	0
Burly	100	1	1	22	75	16				4	111	ac		22	22	dmg%		60	60						weap												0	0
Burly	100	1	1	27	80	20				4	111	ac		30	30	dmg%		70	70						weap												0	0
Stalwart	100	1	1	32		24				4	111	ac		40	40	dmg%		80	80						weap												0	0
Stalwart	100	1	1	37		34				4	111	ac		50	50	dmg%		100	100						weap												0	0
Stalwart	100	1	1	42		48				4	111	ac		70	70	dmg%		125	125						weap												0	0
Stalwart	100	1	1	55		59				2	111	ac		85	85	dmg%		150	150						weap												0	0
Stalwart	100	1	1	69		67				2	111	ac		100	100	dmg%		175	175						weap												0	0
Stalwart	100	1	1	80		72				2	111	ac		125	125	dmg%		200	200						weap												0	0
Loremaster's2	100	1	1	47		35				4	111	addxp		2	2	dmg%		100	100						weap												0	0
Sage's3	100	1	1	63		57				4	111	addxp		2	2	dmg%		150	150						weap												0	0
Sage's3	100	1	1	79		63				2	111	addxp		2	2	dmg%		225	225						weap												0	0
Master Sage's2	100	1	1	88		78				2	111	addxp		3	3	dmg%		250	250						weap												0	0
Ghostly1	100	1	1	41		37				4	111	dmg%		125	125	ethereal		1	1	rep-dur	10			cred	weap							orb	wand				0	0
Spectral1	100	1	1	61		51				4	111	dmg%		150	150	ethereal		1	1	rep-dur	10			cgrn	weap							orb	wand				0	0
Phantom1	100	1	1	75		67				4	111	dmg%		175	175	ethereal		1	1	rep-dur	10			cblu	weap							orb	wand				0	0
Wraithly1	100	1	1	86		80				4	111	dmg%		200	200	ethereal		1	1	rep-dur	10			whit	weap							orb	wand				0	0
w06x	100	1	1	86		77				4	111	dmg%		20	35	crush		15	25	swing2		15	25		weap	amul	ring	shld	armo			orb	wand				0	0
Assamic	100	1	1	3	20	1				4	123	att-demon		50	50	dmg-demon		25	25						weap	circ						wand	orb				0	0
Arcadian	100	1	1	15	40	11				4	123	att-demon		100	100	dmg-demon		50	50						weap	circ						wand	orb				0	0
Unearthly	100	1	1	25	65	18				2	123	att-demon		150	150	dmg-demon		100	100						weap							wand	orb				0	0
Astral	100	1	1	35		26				2	123	att-demon		200	200	dmg-demon		150	150						weap							wand	orb				0	0
Elysian	100	1	1	45		33				2	123	att-demon		300	300	dmg-demon		200	200					dgld	weap							wand	orb				0	0
Celestial	100	1	1	55		41				2	123	att-demon		400	400	dmg-demon		300	300					dgld	weap							wand	orb				0	0
Diamond	100	1	1	26		19				2	123	att-demon		50	50	dmg-demon		40	40						jewl												0	0
Consecrated	100	1	1	1	35	1				8	142	att-undead		75	75	dmg-undead		75	75						weap							wand	orb				0	0
Pure	100	1	1	15	60	11				6	142	att-undead		175	175	dmg-undead		125	125					lgld	weap							wand	orb				0	0
Sacred	100	1	1	25		18				4	142	att-undead		250	250	dmg-undead		200	200					lgld	weap							wand	orb				0	0
Hallowed	100	1	1	35		27				2	142	att-undead		325	325	dmg-undead		275	275					lgld	weap							wand	orb				0	0
Divine	100	1	1	45		37				2	142	att-undead		450	450	dmg-undead		350	350					lgld	weap							wand	orb				0	0
Bronze	100	1	1	1	35	1				16	110	att		20	20										weap	ring	circ	glov	amul			orb	wand				0	0
Iron	100	1	1	7	48	5				16	110	att		40	40										weap	ring	circ	glov	amul			orb	wand				0	0
Steel	100	1	1	12	70	9				14	110	att		60	60										weap	ring	circ	glov	amul			orb	wand				0	0
Silver	100	1	1	14	85	12				14	110	att		80	80										weap	ring	circ	glov	amul			orb	wand				0	0
Gold	100	1	1	19		16				12	110	att		100	100									lgld	weap	ring	circ	glov	amul			orb	wand				0	0
Platinum	100	1	1	25		22				12	110	att		125	125									lgld	weap	ring	circ					orb	wand				0	0
Meteoric	100	1	1	30		27				10	110	att		150	150									lgld	weap							orb	wand				0	0
Strange	100	1	1	37		34				10	110	att		300	300									lgld	weap							orb	wand				0	0
Weird	100	1	1	44		40				8	110	att		450	450									lgld	weap							orb	wand				0	0
Bronze	100	1	1	1	20	1				8	110	att		12	12										lcha												0	0
Bronze	100	1	1	7	40	5				8	110	att		27	27										lcha												0	0
Bronze	100	1	1	13	50	9				8	110	att		42	42										lcha												0	0
Iron	100	1	1	19	75	14				8	110	att		57	57										lcha												0	0
Iron	100	1	1	25		18				8	110	att		72	72										lcha												0	0
Iron	100	1	1	31		23				8	110	att		87	87										lcha												0	0
Steel	100	1	1	37		29				8	110	att		102	102										lcha												0	0
Steel	100	1	1	43		35				8	110	att		117	117										lcha												0	0
Steel	100	1	1	49		41				8	110	att		132	132										lcha												0	0
Bronze	100	1	1	1	40	1				8	110	att		8	8										mcha												0	0
Bronze	100	1	1	7	60	5				8	110	att		12	12										mcha												0	0
Bronze	100	1	1	16	80	12				8	110	att		25	25										mcha												0	0
Iron	100	1	1	25		18				8	110	att		38	38										mcha												0	0
Iron	100	1	1	34		26				8	110	att		51	51										mcha												0	0
Steel	100	1	1	43		36				8	110	att		64	64										mcha												0	0
Steel	100	1	1	52		44				8	110	att		77	77										mcha												0	0
Bronze	100	1	1	1	35	1				8	110	att		4	4										scha												0	0
Bronze	100	1	1	21	65	15				8	110	att		12	12										scha												0	0
Iron	100	1	1	39		31				8	110	att		24	24										scha												0	0
Steel	100	1	1	57		49				8	110	att		36	36										scha												0	0
Nickel	100	1	1	1	40	1				8	110	att		20	20										jewl												0	0
Tin	100	1	1	8	70	6				8	110	att		40	40										jewl												0	0
Silver	100	1	1	25		18				8	110	att		60	60										jewl												0	0
Argent	100	1	1	44		36				8	110	att		100	100										jewl												0	0
Robineye	100	1	1	1	35	1				2	111	att/lvl	4											whit	weap							staf	wand	orb			0	0
Sparroweye	100	1	1	10	55	7				2	111	att/lvl	6											whit	weap							staf	wand	orb			0	0
Falconeye	100	1	1	20		15				2	111	att/lvl	8											whit	weap							staf	wand	orb			0	0
Hawkeye	100	1	1	35		26				4	111	att/lvl	12											whit	weap							staf	wand	orb			0	0
Eagleeye	100	1	1	50		37				2	111	att/lvl	16											whit	weap							staf	wand	orb			0	0
Precise1	100	1	1	20	40	15				16	200	att%		9	9										weap	glov											0	0
Precise1	100	1	1	40	70	30				12	200	att%		14	14										weap	glov											0	0
Fastidious1	100	1	1	55		45				8	200	att%		19	19										weap	glov											0	0
Meticulous1	100	1	1	70		60				8	200	att%		24	24										weap	glov											0	0
Veracious1	100	1	1	85		75				4	200	att%		35	35										weap	glov											0	0
w09x	100	1	1	85		75				4	200	ar%		15	25	ignore-ac				deadly		15	25		weap	amul	ring	shld	armo								0	0
Visionary	100	1	1	25		18				2	111	att%/lvl	2											whit	helm	miss	glov										0	0
Fine	100	1	1	15	50	11				8	111	att		20	20	dmg-max		3	3						lcha												0	0
Fine	100	1	1	22	80	16				8	111	att		48	48	dmg-max		6	6						lcha												0	0
Sharp	100	1	1	29		21				8	111	att		76	76	dmg-max		10	10						lcha												0	0
Fine	100	1	1	19	50	14				8	111	att		20	20	dmg-max		3	3						mcha												0	0
Sharp	100	1	1	28		21				8	111	att		48	48	dmg-max		6	6						mcha												0	0
Fine	100	1	1	28		21				8	111	att		20	20	dmg-max		3	3						scha												0	0
Red	100	1	1	4	40	3				8	103	dmg-min		2	2									dred	lcha												0	0
Red	100	1	1	16	55	12				8	103	dmg-min		4	4									dred	lcha												0	0
Sanguinary	100	1	1	28		21				8	103	dmg-min		6	6									dred	lcha												0	0
Sanguinary	100	1	1	40		32				8	103	dmg-min		8	8									dred	lcha												0	0
Bloody	100	1	1	52		46				8	103	dmg-min		10	10									dred	lcha												0	0
Red	100	1	1	11	65	8				8	103	dmg-min		2	2									dred	mcha												0	0
Sanguinary	100	1	1	33		25				8	103	dmg-min		4	4									dred	mcha												0	0
Bloody	100	1	1	55		47				8	103	dmg-min		6	6									dred	mcha												0	0
Red	100	1	1	24	70	16				8	103	dmg-min		1	1									dred	scha												0	0
Sanguinary	100	1	1	41		33				8	103	dmg-min		2	2									dred	scha												0	0
Bloody	100	1	1	58		50				8	103	dmg-min		3	3									dred	scha												0	0
Scarlet	100	1	1	8	55	6				8	103	dmg-min		4	4									dred	jewl												0	0
Crimson	100	1	1	38		30				8	103	dmg-min		8	8	splash	proc_SplashDamage	100	1					dred	jewl												0	0
Jagged	100	1	1	3	35	2				8	104	dmg-max		2	2									blac	lcha												0	0
Jagged	100	1	1	10	55	7				8	104	dmg-max		4	4									blac	lcha												0	0
Jagged	100	1	1	17	75	12				8	104	dmg-max		6	6									blac	lcha												0	0
Forked	100	1	1	25		18				8	104	dmg-max		8	8									blac	lcha												0	0
Forked	100	1	1	32		24				8	104	dmg-max		10	10									blac	lcha												0	0
Serrated	100	1	1	39		31				8	104	dmg-max		12	12									blac	lcha												0	0
Serrated	100	1	1	47		39				8	104	dmg-max		15	15									blac	lcha												0	0
Jagged	100	1	1	10	45	7				8	104	dmg-max		1	1									blac	mcha												0	0
Jagged	100	1	1	20	70	15				8	104	dmg-max		2	2									blac	mcha												0	0
Forked	100	1	1	30		22				8	104	dmg-max		3	3									blac	mcha												0	0
Forked	100	1	1	40		32				8	104	dmg-max		5	5									blac	mcha												0	0
Serrated	100	1	1	50		42				8	104	dmg-max		8	8									blac	mcha												0	0
Jagged	100	1	1	23	50	17				8	104	dmg-max		1	1									blac	scha												0	0
Forked	100	1	1	38		30				8	104	dmg-max		2	2									blac	scha												0	0
Serrated	100	1	1	53		45				8	104	dmg-max		3	3									blac	scha												0	0
Carbuncle	100	1	1	12	48	9				8	104	dmg-max		5	5									dred	jewl												0	0
Carmine	100	1	1	35		27				8	104	dmg-max		9	9									dred	jewl												0	0
Vermillion	100	1	1	58		50				8	104	dmg-max		15	15	splash	proc_SplashDamage	100	1					dred	jewl												0	0
Red	100	1	1	29		26				8	103	dmg-min		3	3	dmg-max		9	9					dred	lcha												0	0
Sanguinary	100	1	1	59		52				8	103	dmg-min		5	5	dmg-max		12	12					dred	lcha												0	0
Bloody	100	1	1	86		88				8	103	dmg-min		8	8	dmg-max		15	15					dred	lcha												0	0
Red	100	1	1	48		42				8	103	dmg-min		3	3	dmg-max		7	7					dred	mcha												0	0
Sanguinary	100	1	1	85		85				8	103	dmg-min		5	5	dmg-max		10	10					dred	mcha												0	0
Red	100	1	1	86		82				8	103	dmg-min		2	2	dmg-max		5	5					dred	scha												0	0
Red	100	1	1	29	58	26				8	103	dmg-min		3	3	dmg-max		8	8					dred	jewl												0	0
Sanguinary	100	1	1	59		52				8	103	dmg-min		5	5	dmg-max		12	12					dred	jewl												0	0
Bloody	100	1	1	86		88				8	103	dmg-min		8	8	dmg-max		15	15					dred	jewl												0	0
Knave's	100	1	1	1	30	1				2	105	dmg/lvl	2			att/lvl	8							whit	weap							orb	wand	orb			0	0
Jack's	100	1	1	10	45	7				2	105	dmg/lvl	3			att/lvl	12							whit	weap							orb	wand	orb			0	0
Jester's	100	1	1	20	65	15				2	105	dmg/lvl	4			att/lvl	16							whit	weap							orb	wand	orb			0	0
Joker's	100	1	1	35		26				2	105	dmg/lvl	6			att/lvl	20							whit	weap							orb	wand	orb			0	0
Trump	100	1	1	50		37				4	105	dmg/lvl	8			att/lvl	24							whit	weap							orb	wand	orb			0	0
Loud	100	1	1	5	35	3				2	105	dmg/lvl	4											whit	weap							orb	wand	orb			0	0
Calling	100	1	1	20	55	15				2	105	dmg/lvl	6											whit	weap							orb	wand	orb			0	0
Yelling	100	1	1	40		35				2	105	dmg/lvl	8											whit	weap							orb	wand	orb			0	0
Shouting	100	1	1	60		55				2	105	dmg/lvl	12											whit	weap							orb	wand	orb			0	0
Gritty	100	1	1	75		65				4	105	dmg/lvl	16											whit	weap							orb	wand	orb			0	0
w24x	100	1	1	75		65				4	105	lifesteal		8	15	manasteal		8	15	mana-kill		4	8		weap	amul	ring	shld	armo			orb	wand	orb			0	0
Stout	100	1	1	1	40	1				8	101	ac		5	5										lcha												0	0
Stout	100	1	1	7	50	5				8	101	ac		9	9										lcha												0	0
Stout	100	1	1	12	55	9				8	101	ac		12	12										lcha												0	0
Burly	100	1	1	17	70	12				8	101	ac		15	15										lcha												0	0
Burly	100	1	1	22	75	16				8	101	ac		22	22										lcha												0	0
Burly	100	1	1	27	80	20				8	101	ac		30	30										lcha												0	0
Stalwart	100	1	1	32		24				8	101	ac		40	40										lcha												0	0
Stalwart	100	1	1	37		29				8	101	ac		50	50										lcha												0	0
Stalwart	100	1	1	42		34				8	101	ac		70	70										lcha												0	0
Stalwart	100	1	1	55		48				6	101	ac		85	85										lcha												0	0
Stalwart	100	1	1	69		65				4	101	ac		100	100										lcha												0	0
Stalwart	100	1	1	80		72				2	101	ac		125	125										lcha												0	0
Stout	100	1	1	1	35	1				8	101	ac		3	3										mcha												0	0
Stout	100	1	1	14	50	10				8	101	ac		6	6										mcha												0	0
Stout	100	1	1	20	70	15				8	101	ac		12	12										mcha												0	0
Burly	100	1	1	26		19				8	101	ac		18	18										mcha												0	0
Burly	100	1	1	32		24				8	101	ac		30	30										mcha												0	0
Stalwart	100	1	1	38		30				8	101	ac		40	40										mcha												0	0
Stalwart	100	1	1	45		37				8	101	ac		60	60										mcha												0	0
Stout	100	1	1	1	50	1				8	101	ac		1	1										scha	scl1											0	0
Stout	100	1	1	21		15				8	101	ac		8	8										scha	scl1											0	0
Burly	100	1	1	36		28				8	101	ac		20	20										scha	scl1											0	0
Stalwart	100	1	1	48		40				8	101	ac		30	30										scha	scl1											0	0
Blanched	100	1	1	1	40	1				8	101	ac		8	8									whit	jewl												0	0
Eburin	100	1	1	16	60	12				8	101	ac		20	20									whit	jewl												0	0
Bone	100	1	1	32		24				8	101	ac		40	40									whit	jewl												0	0
Ivory	100	1	1	64		56				8	101	ac		64	64									whit	jewl												0	0
Miocene	100	1	1	1	25	1				8	101	ac/lvl	12											whit	tors	shld											0	0
Miocene	100	1	1	1	25	1				10	101	ac/lvl	4											whit	glov	boot	belt	helm									0	0
Oligocene	100	1	1	25	50	22				8	101	ac/lvl	24											whit	tors	shld											0	0
Oligocene	100	1	1	25	50	22				8	101	ac/lvl	8											whit	glov	boot	belt	helm									0	0
Eocene	100	1	1	45		40				6	101	ac/lvl	36											whit	tors	shld											0	0
Eocene	100	1	1	45		40				4	101	ac/lvl	12											whit	glov	boot	belt	helm									0	0
Paleocene	100	1	1	70		60				4	101	ac/lvl	48											whit	tors												0	0
Paleocene	100	1	1	70		60				2	101	ac/lvl	16											whit	glov	boot	belt	helm									0	0
Sturdy	100	1	1	1	20	1				110	101	ac%		20	20										armo	shld											0	0
Sturdy	100	1	1	7	30	4				110	101	ac%		30	30										armo	shld											0	0
Strong	100	1	1	12	40	10				110	101	ac%		40	40										armo	shld											0	0
Glorious	100	1	1	24	50	18				110	101	ac%		50	50										armo	shld											0	0
Blessed	100	1	1	31	60	25				110	101	ac%		65	65										armo	shld											0	0
Consecrated1	100	1	1	39	70	32				110	101	ac%		80	80										armo	shld											0	0
Saintly	100	1	1	55		48				110	101	ac%		100	100									dgld	armo	shld											0	0
Holy	100	1	1	67		57				110	101	ac%		133	133									dgld	armo	shld											0	0
Hallowed1	100	1	1	72		69				110	101	ac%		166	166									dgld	armo	shld											0	0
Godly	100	1	1	79		77				110	101	ac%		200	200									dgld	armo	shld											0	0
Godly	100	1	1	86		81				110	101	ac%		225	225									dgld	armo	shld											0	0
Paradox	100	1	1	1		1				24	101	ac%/lvl	8											whit	armo	shld											0	0
Paradox	100	1	1	65		59				24	101	ac%/lvl	16											whit	armo	shld											0	0
Ghostly1	100	1	1	41		37				4	101	ac%		40	40	ethereal		1	1	rep-dur	10			whit	armo												0	0
Spectral1	100	1	1	61		51				4	101	ac%		60	60	ethereal		1	1	rep-dur	10			whit	armo												0	0
Phantom1	100	1	1	75		67				4	101	ac%		80	80	ethereal		1	1	rep-dur	10			whit	armo												0	0
Wraithly1	100	1	1	86		80				4	101	ac%		100	100	ethereal		1	1	rep-dur	10			whit	armo												0	0
Strengthened1	100	1	1	5		3				4	101	ac%		30	30	red-dmg%		3	3						tors	shld											0	0
Reinforced1	100	1	1	17		14				4	101	ac%		40	40	red-dmg%		5	5						tors	shld											0	0
Fortified1	100	1	1	29		26				4	101	ac%		50	50	red-dmg%		7	7						tors	shld											0	0
Hardened1	100	1	1	40		37				4	101	ac%		60	60	red-dmg%		10	10						tors	shld											0	0
Tempered1	100	1	1	55		50				4	101	ac%		70	70	red-dmg%		15	15						tors	shld											0	0
Treated1	100	1	1	70		67				4	101	ac%		80	80	red-dmg%		20	20						tors	shld											0	0
Invulnerable1	100	1	1	86		83				4	101	ac%		100	100	red-dmg%		25	25						tors	shld											0	0
w36x	100	1	1	86		83				4	101	ac%		40	75	ac-miss		50	100	red-dmg%		5	10		weap	amul	ring	shld	armo								0	0
Sage's1	100	1	1	59		50				2	125	allskills		1	1										amul	tors	shld										0	0
Sage's1	100	1	1	85		80				2	125	allskills		1	1										ring												0	0
omniscient1	100	1	1	86		80				2	125	allskills		2	2										tors	amul											0	0
Maiden's	100	1	1	36		27	ama			8	125	ama		1	1										amul	circ											0	0
Maiden's	100	1	1	55		47	ama			2	125	ama		1	1										tors												0	0
Valkyrie's	100	1	1	86		75	ama			2	125	ama		2	2									cgrn	tors												0	0
Valkyrie's	100	1	1	86		67	ama			4	125	ama		2	2									cgrn	amul	circ											0	0
Maiden's	100	1	1	30		22	ama			8	125	ama		1	1										miss	spea											0	0
Valkyrie's	100	1	1	50		42	ama			4	125	ama		2	2									cgrn	miss	spea											0	0
Monk's	100	1	1	55		47	pal			2	125	pal		1	1										tors												0	0
Monk's	100	1	1	36		27	pal			8	125	pal		1	1										amul	circ											0	0
Priest's	100	1	1	86		75	pal			2	125	pal		2	2									cgrn	tors												0	0
Priest's	100	1	1	86		67	pal			4	125	pal		2	2									cgrn	amul	circ											0	0
Monk's	100	1	1	30		22	pal			8	125	pal		1	1										scep	ashd											0	0
Priest's	100	1	1	50		42	pal			4	125	pal		2	2									cgrn	scep	ashd											0	0
Monk's	100	1	1	35		27	pal			8	125	pal		1	1										swor	mace	hamm	shld									0	0
Priest's	100	1	1	65		58	pal			4	125	pal		2	2									cgrn	swor	mace	hamm	shld									0	0
Summoner's	100	1	1	36		27	nec			8	125	nec		1	1										amul	circ											0	0
Summoner's	100	1	1	55		47	nec			2	125	nec		1	1										tors												0	0
Necromancer's	100	1	1	86		75	nec			2	125	nec		2	2									cgrn	tors												0	0
Necromancer's	100	1	1	86		67	nec			4	125	nec		2	2									cgrn	amul	circ											0	0
Summoner's	100	1	1	30		22	nec			8	125	nec		1	1										wand	knif	head										0	0
Necromancer's	100	1	1	50		42	nec			4	125	nec		2	2									cgrn	wand	knif	head										0	0
Angel's	100	1	1	36		27	sor			8	125	sor		1	1										amul	circ											0	0
